,qn,err_type,err_value,prob,err
3787,4.0,I,0.5011996923905326,1,0
3788,4.0,I,0.4025782773347363,1,0
3789,4.0,I,0.7359092186846793,1,0
3790,4.0,I,0.1467331943504503,1,0
3791,4.0,I,0.5100569148973062,1,0
3792,4.0,I,0.03225538482197765,1,0
3793,4.0,I,0.5125621686902937,1,0
3794,4.0,I,0.16996939976832748,1,0
3795,4.0,I,0.35190110076425873,1,0
3796,4.0,I,0.2737332442706919,1,0
3797,4.0,I,0.22714870620066624,1,0
3798,4.0,I,0.3174078441395112,1,0
3799,4.0,I,0.22158308726320866,1,0
3800,4.0,I,0.5471085070831805,1,0
3801,4.0,I,0.3280676229937237,1,0
3802,4.0,I,0.3900286157968034,1,0
3803,4.0,I,0.06561940994169768,1,0
3804,4.0,I,0.0013399836409050405,1,0
3805,4.0,I,0.3666539706086618,1,0
3806,4.0,I,0.11951151081897272,1,0
3807,4.0,I,0.4225253951043704,1,0
3808,4.0,I,0.32414900269190394,1,0
3809,4.0,I,0.0901235838021064,1,0
3810,4.0,I,0.09987529158234698,1,0
3811,4.0,I,0.5340796682417017,1,0
3812,4.0,I,0.7532908230387145,1,0
3813,4.0,I,0.15333513757062106,1,0
3814,4.0,I,0.7337199143091914,1,0
3815,4.0,I,0.11270318493260535,1,0
3816,4.0,I,0.7107411508745801,1,0
3817,4.0,I,0.1722688734615535,1,0
3818,4.0,I,0.29289570152469324,1,0
3819,4.0,I,0.02483188221801613,1,0
3820,4.0,I,0.04233755290263563,1,0
3821,4.0,I,0.1733073577853651,1,0
3822,4.0,I,0.31766819340971164,1,0
3823,4.0,I,0.6642457141545591,1,0
3824,4.0,I,0.7249655395470491,1,0
3825,4.0,I,0.17233776052036776,1,0
3826,4.0,I,0.005633020206436856,1,0
3827,4.0,I,0.34211201724154944,1,0
3828,4.0,I,0.0914947705733692,1,0
3829,4.0,I,0.0476559469398547,1,0
3830,4.0,I,0.4508369235232348,1,0
3831,4.0,I,0.1248237662593764,1,0
3832,4.0,I,0.1671296085666138,1,0
3833,4.0,I,0.43150454970570096,1,0
3834,4.0,I,0.3270397664482928,1,0
3835,4.0,I,0.18655358573380987,1,0
3836,4.0,I,0.04471481556135004,1,0
3837,4.0,I,0.4225759465045411,1,0
3838,4.0,I,0.27403690134874725,1,0
3839,4.0,I,0.630312162086452,1,0
3840,4.0,I,0.39915873650177897,1,0
3841,4.0,I,0.7375403711532855,1,0
3842,4.0,I,0.26699784738162524,1,0
3843,4.0,I,0.4261003162908503,1,0
3844,4.0,I,0.10007259832283004,1,0
3845,4.0,I,0.11088069909378018,1,0
3846,4.0,I,0.049327095246193886,1,0
3847,4.0,I,0.9389521972739768,1,0
3848,4.0,I,0.379276324670783,1,0
3849,4.0,I,0.13895209206840042,1,0
3850,4.0,I,0.2820313542261873,1,0
3851,4.0,I,0.2007477406164756,1,0
3852,4.0,I,0.2592003229753825,1,0
3853,4.0,I,0.11477278763234675,1,0
3854,4.0,I,0.21151342761284694,1,0
3855,4.0,I,0.04121575651610121,1,0
3856,4.0,I,0.1064522233618188,1,0
3857,4.0,I,0.18173469904424905,1,0
3858,4.0,I,0.06118220048571765,1,0
3859,4.0,I,0.41103008505235605,1,0
3860,4.0,I,0.0985890474578931,1,0
3861,4.0,I,0.38417996556640455,1,0
3862,4.0,I,0.014070914894896204,1,0
3863,4.0,I,0.04763981518635585,1,0
3864,4.0,I,0.5319507953149288,1,0
3865,4.0,I,0.3230183683470451,1,0
3866,4.0,I,0.05107602825110752,1,0
3867,4.0,I,0.07495858426033586,1,0
4183,4.0,U,0.4906380818392432,1,1
4184,4.0,U,0.3263068211196189,1,1
4185,4.0,U,0.3734421107548076,1,1
4186,4.0,U,0.2694392452086881,1,1
4187,4.0,U,0.1655877538294407,1,1
4188,4.0,U,0.26770620507754656,1,1
4189,4.0,U,0.4809009411132776,1,1
4190,4.0,U,0.2468570339855578,1,1
4191,4.0,U,0.059856831421648216,1,1
4192,4.0,U,0.3090279623897591,1,1
4193,4.0,U,0.0753290660381673,1,1
4194,4.0,U,0.025847429723388386,1,1
4195,4.0,U,0.3755073429609557,1,1
4196,4.0,U,0.2685637316185968,1,1
4197,4.0,U,0.4326769459902464,1,1
4198,4.0,U,0.1815002202088372,1,1
4199,4.0,U,0.2937687034384321,1,1
4200,4.0,U,0.2426043252911004,1,1
4201,4.0,U,0.3568163385030809,1,1
4202,4.0,U,0.3379365547053166,1,1
4203,4.0,U,0.010953614447185678,1,1
4204,4.0,U,0.10048332255283954,1,1
4205,4.0,U,0.15797034634057916,1,1
4206,4.0,U,0.2806848618301747,1,1
4207,4.0,U,0.033077619595825336,1,1
4208,4.0,U,0.22230457028333706,1,1
4209,4.0,U,0.015798856019320958,1,1
4210,4.0,U,0.09985596438928246,1,1
4211,4.0,U,0.01405634411654666,1,1
4212,4.0,U,0.17697008958391516,1,1
4213,4.0,U,0.003909974233761049,1,1
4214,4.0,U,0.2442853456994553,1,1
4215,4.0,U,0.2446792813204309,1,1
