,qn,err_type,err_value,prob,err
3868,5.0,I,0.4974398757326025,1,0
3869,5.0,I,0.3009921744873072,1,0
3870,5.0,I,0.6547344414260508,1,0
3871,5.0,I,0.1395507239464474,1,0
3872,5.0,I,0.2071580555818809,1,0
3873,5.0,I,0.21031671711762426,1,0
3874,5.0,I,0.06308593153498687,1,0
3875,5.0,I,0.12811351559948925,1,0
3876,5.0,I,0.2350476064532561,1,0
3877,5.0,I,0.5713130147852634,1,0
3878,5.0,I,0.0915636942964254,1,0
3879,5.0,I,0.16511459038688914,1,0
3880,5.0,I,0.05159128155878279,1,0
3881,5.0,I,0.20120544970077545,1,0
3882,5.0,I,0.31843697837091245,1,0
3883,5.0,I,0.7851260724911919,1,0
3884,5.0,I,0.5982226095025451,1,0
3885,5.0,I,0.5658879178818377,1,0
3886,5.0,I,0.1981925188923204,1,0
3887,5.0,I,0.3742808822013393,1,0
3888,5.0,I,0.06125622017637966,1,0
3889,5.0,I,0.2669540537019817,1,0
3890,5.0,I,0.05276806372869725,1,0
3891,5.0,I,0.6044013764710279,1,0
3892,5.0,I,0.3795562710406257,1,0
3893,5.0,I,0.4567950459422489,1,0
3894,5.0,I,0.1720619511644763,1,0
3895,5.0,I,0.4989710212159517,1,0
3896,5.0,I,0.00035034494501451347,1,0
3897,5.0,I,0.21443252506580726,1,0
3898,5.0,I,0.3321959309966364,1,0
3899,5.0,I,0.38669788696357205,1,0
3900,5.0,I,0.08909791279534263,1,0
3901,5.0,I,0.28383197302313656,1,0
3902,5.0,I,0.35338081024691625,1,0
3903,5.0,I,0.11614099399060475,1,0
3904,5.0,I,0.032455694188219815,1,0
3905,5.0,I,0.2410422869848936,1,0
3906,5.0,I,0.5465437572559165,1,0
3907,5.0,I,0.04427340499731847,1,0
3908,5.0,I,0.3472810955240549,1,0
3909,5.0,I,0.11530121160133755,1,0
3910,5.0,I,0.00436433356610727,1,0
3911,5.0,I,0.44380713422467705,1,0
3912,5.0,I,0.35213762123708153,1,0
3913,5.0,I,0.0936532288312476,1,0
3914,5.0,I,0.33214000959099993,1,0
3915,5.0,I,0.16486725467996874,1,0
3916,5.0,I,0.1780862287823557,1,0
3917,5.0,I,0.5275805333487447,1,0
3918,5.0,I,0.6494585363374863,1,0
3919,5.0,I,0.3054546140090421,1,0
3920,5.0,I,0.020597318775569584,1,0
3921,5.0,I,0.03101179664046272,1,0
3922,5.0,I,0.37562149524402216,1,0
3923,5.0,I,0.11639532306087196,1,0
3924,5.0,I,0.1535932081679291,1,0
3925,5.0,I,0.4624252637465993,1,0
3926,5.0,I,0.008874378068962406,1,0
3927,5.0,I,0.5363722351674212,1,0
3928,5.0,I,0.29667163308308064,1,0
3929,5.0,I,0.4248055983301822,1,0
3930,5.0,I,0.06915581951917882,1,0
3931,5.0,I,0.2499910493260765,1,0
3932,5.0,I,0.18147627873802308,1,0
3933,5.0,I,0.2645786435843425,1,0
3934,5.0,I,0.1146780304874605,1,0
3935,5.0,I,0.12024350096541235,1,0
3936,5.0,I,0.10374313496052434,1,0
3937,5.0,I,0.3461514036516436,1,0
3938,5.0,I,0.024610978522790598,1,0
3939,5.0,I,0.21256567194113307,1,0
3940,5.0,I,0.19437615060685606,1,0
3941,5.0,I,0.12977961567537366,1,0
3942,5.0,I,0.7599910493260642,1,0
3943,5.0,I,0.4416826192884175,1,0
3944,5.0,I,0.4936609609049918,1,0
3945,5.0,I,0.02208130650385776,1,0
3946,5.0,I,0.1240161172862213,1,0
3947,5.0,I,0.08221908849594473,1,0
3948,5.0,I,0.28543819516636515,1,0
3949,5.0,I,0.2335967732811605,1,0
3950,5.0,I,0.3800806395881659,1,0
3951,5.0,I,0.06612011203418833,1,0
3952,5.0,I,0.3855474632447533,1,0
3953,5.0,I,0.4795817439850235,1,0
3954,5.0,I,0.4581775293463402,1,0
3955,5.0,I,0.15848515266734942,1,0
3956,5.0,I,0.3303094480473194,1,0
3957,5.0,I,0.3118409363399084,1,0
3958,5.0,I,0.2545765353628793,1,0
3959,5.0,I,0.149117122905988,1,0
4264,5.0,U,0.3270728206669589,1,1
4265,5.0,U,0.13715874673148276,1,1
4266,5.0,U,0.13751504090773525,1,1
4267,5.0,U,0.10558640310135607,1,1
4268,5.0,U,0.10889148015757057,1,1
4269,5.0,U,0.400113605203145,1,1
4270,5.0,U,0.08691795911313283,1,1
4271,5.0,U,0.033440580583208424,1,1
4272,5.0,U,0.32500878262439314,1,1
4273,5.0,U,0.3171416205314946,1,1
4274,5.0,U,0.21102370612781265,1,1
4275,5.0,U,0.2603721747282329,1,1
4276,5.0,U,0.15049309448478232,1,1
4277,5.0,U,0.6110146493918849,1,1
4278,5.0,U,0.23906451844791665,1,1
4279,5.0,U,0.4350116097374889,1,1
4280,5.0,U,0.3197812375188444,1,1
