,qn,fal,run,q1,q2,h_a,h_b,h_c,h_d,h_ab,h_ac,h_ad,h_bc,h_bd,h_cd
0,2.0,1.0,0.0,1.0,4.0,1.3905517120971562,0.19926800798681774,0.8686229735280557,1.1877026876469856,-0.7090684904523626,0.9483457503005792,0.6596801870696815,-0.8312717557734773,1.4300460559537993,1.341352666446675
1,2.0,1.0,1.0,1.0,4.0,-0.8457038754800369,0.5644969320740424,-0.3989201806085374,-0.2427280234637606,1.082425079726063,-0.43017364979571654,-0.422929936140973,-0.7858239813080851,0.4364541003602593,0.9555971202337621
2,2.0,1.0,2.0,1.0,4.0,-1.2074644605220648,-0.3614540097822427,-2.136854183716804,0.2949958619854887,0.34524755796333567,-0.922270186591828,-0.5856454836674161,-0.8703687428439796,1.0319158037222305,-0.48811070900365683
3,2.0,1.0,3.0,1.0,4.0,0.1682276243633442,1.5728586128364181,-0.7366099907143366,0.37201423758283264,0.201780497202501,0.7082215064643236,-0.5209700919143934,0.8980690145678002,-0.9576625384376654,0.057736928694508215
4,2.0,1.0,4.0,1.0,4.0,0.6851849177510022,-1.1467089514989424,-1.2167818900814658,1.2642068427880961,0.8999288452212407,0.9788831907023489,-2.70960100723497,1.3817925328045368,-0.3682439684423462,-1.084793245776123
5,2.0,1.0,5.0,1.0,4.0,2.972151411120311,1.8225883692941252,1.1626134211686519,-0.7430240154911353,-1.3616914834990257,-1.575627108448657,0.33874883955444124,0.9365742710497079,-1.2202654936043278,0.99309083649224
6,2.0,1.0,6.0,1.0,4.0,-1.1409010871179803,-0.2579863259193977,1.5716449589083508,-0.8787803911022106,1.0789152821235581,0.5397545917109234,0.032185825797761775,0.23668663673858684,0.6899042416767458,-0.6751714061811234
7,2.0,1.0,7.0,1.0,4.0,0.40426142010091093,-0.2249396811879332,2.14244810677142,0.6084881502345817,-0.06717077964533898,-1.5981935068925066,0.7479727130973325,-1.3677810939287662,0.6920697523164248,-0.8576892261913281
8,2.0,1.0,8.0,1.0,4.0,-0.9410248457522856,1.0645584786555742,-0.32060845922899267,0.19009853570829274,1.4023444772915992,-0.9273103280700182,0.32642832053188503,0.40344804999778183,-0.8722090871293303,0.6549131536268235
9,2.0,1.0,9.0,1.0,4.0,-1.6376413834674124,-3.3176218143929646,1.1006228605800756,0.6203398117656177,-0.0919552967766759,0.6048498159166571,-0.658613477434461,-1.5436955145917703,0.3513099326182462,0.6152833926442132
10,3.0,2.0,0.0,2.0,3.0,2.699127355585379,-0.40046109556864495,0.9569448092085808,-0.3928406722318136,-0.2929762292110199,-1.7723142433415582,1.6554960120663857,-1.4285898471664966,0.6937407981149852,0.7375646243527155
11,3.0,2.0,1.0,2.0,3.0,1.5308618050408567,-1.6296145439348804,1.36299113887684,1.7875098110127177,-1.185584157964246,1.1510843538739441,1.0326581863800026,0.45931720954372995,-0.9434730586283167,0.9015891145419664
12,3.0,2.0,2.0,2.0,3.0,-0.9277637182980962,1.5427048797829068,1.8382120570096494,-2.3755331396909924,0.7905598248640833,0.7613759226133304,-2.032890214596527,1.9235567145643029,-1.1032430378393001,-0.937589339098699
13,3.0,2.0,3.0,2.0,3.0,0.10400771424041054,0.30333754910820593,-0.24954156829759533,0.5481463683950645,0.7202506654582778,-0.47268052716337255,-0.05215177103171497,0.8068025719851635,-1.0932642904377594,-0.9511274292288585
14,3.0,2.0,4.0,2.0,3.0,2.589930909908148,0.08978498822857925,1.1142497084994532,-1.1698098033659918,1.0098235446913182,-1.0676349579424218,-0.27856427705698333,0.7479992812070021,-1.1497644330249321,-0.7250208093171899
