,qn,err_type,err_value,prob,err
304,5.0,I,0.6944020702294439,0,0
305,5.0,I,0.30099217448730736,0,0
306,5.0,I,0.89274436736647,0,0
307,5.0,I,0.03407568460871871,0,0
308,5.0,I,0.1786884702203897,0,0
309,5.0,I,0.4764178817890592,0,0
310,5.0,I,0.7258272044059928,0,0
311,5.0,I,0.3177039664906242,0,0
312,5.0,I,0.1812657688397823,0,0
313,5.0,I,0.4858005519664153,0,0
314,5.0,I,0.034460703132851316,0,0
315,5.0,I,0.1779738628444094,0,0
316,5.0,I,0.38969040487013296,0,0
317,5.0,I,0.158143343258078,0,0
318,5.0,I,0.023672266221815508,0,0
319,5.0,I,0.5601434408376456,0,0
320,5.0,I,0.012211519773136087,0,0
321,5.0,I,0.3980047348132125,0,0
322,5.0,I,0.08132719106344838,0,0
323,5.0,I,0.44188221478790973,0,0
324,5.0,I,0.7476489084980498,0,0
325,5.0,I,0.28783930688824755,0,0
326,5.0,I,0.41366607439664016,0,0
327,5.0,I,0.042896235220201966,0,0
328,5.0,I,0.3230285190906549,0,0
329,5.0,I,0.3884987980923055,0,0
330,5.0,I,0.1920619511644761,0,0
331,5.0,I,0.45905806336450605,0,0
332,5.0,I,0.4763227797407516,0,0
333,5.0,I,0.011020619552322095,0,0
334,5.0,I,0.182195930996637,0,0
335,5.0,I,0.09766190148207587,0,0
336,5.0,I,0.2800135449321793,0,0
337,5.0,I,0.2402132460741969,0,0
338,5.0,I,0.020440672464903054,0,0
339,5.0,I,0.18385900521959286,0,0
340,5.0,I,0.18891307486953132,0,0
341,5.0,I,0.2579566858564553,0,0
342,5.0,I,0.009588938360914456,0,0
343,5.0,I,0.3766667026785306,0,0
344,5.0,I,0.1986091985032984,0,0
345,5.0,I,0.2835472062140511,0,0
346,5.0,I,0.13308369518854596,0,0
347,5.0,I,0.34021172257468724,0,0
348,5.0,I,0.6132943023370826,0,0
349,5.0,I,0.18293819710720632,0,0
350,5.0,I,0.581403747363752,0,0
351,5.0,I,0.04765482716843128,0,0
352,5.0,I,0.307034235386118,0,0
