,qn,err_type,err_value,prob,err
223,4.0,I,0.19556161404488184,0,0
224,4.0,I,0.5050787957958154,0,0
225,4.0,I,0.18019214745948306,0,0
226,4.0,I,0.13575470209788953,0,0
227,4.0,I,0.052075585473955736,0,0
228,4.0,I,0.012230298055609157,0,0
229,4.0,I,0.4953245186631894,0,0
230,4.0,I,0.6081552809821211,0,0
231,4.0,I,0.20928765990657805,0,0
232,4.0,I,0.14621990881039226,0,0
233,4.0,I,0.403347892817003,0,0
234,4.0,I,0.11711916582206428,0,0
235,4.0,I,0.05048810077087457,0,0
236,4.0,I,0.1301894902697266,0,0
237,4.0,I,0.00579451107371476,0,0
238,4.0,I,0.3392106338321765,0,0
239,4.0,I,0.06472222650221726,0,0
240,4.0,I,0.0067988705477721725,0,0
241,4.0,I,0.16550736330623497,0,0
242,4.0,I,0.2892744763299564,0,0
243,4.0,I,0.2985875885921928,0,0
244,4.0,I,0.169981465250314,0,0
245,4.0,I,0.2598870007287584,0,0
246,4.0,I,0.24790412302332304,0,0
247,4.0,I,0.3062165503377852,0,0
248,4.0,I,0.3553418022030748,0,0
249,4.0,I,0.0324574393058743,0,0
250,4.0,I,0.1952136319367084,0,0
251,4.0,I,0.08986638319138557,0,0
252,4.0,I,0.01281507943001775,0,0
253,4.0,I,0.42828152123970986,0,0
254,4.0,I,0.3198475573986972,0,0
255,4.0,I,0.19106986559689976,0,0
256,4.0,I,0.06659493817134776,0,0
257,4.0,I,0.6647217517123005,0,0
258,4.0,I,0.6758092423551416,0,0
259,4.0,I,0.16886017033944767,0,0
260,4.0,I,0.13214299060892576,0,0
261,4.0,I,0.13868522589462196,0,0
262,4.0,I,0.5417538666654881,0,0
263,4.0,I,0.2808867171040745,0,0
264,4.0,I,0.21944544220458329,0,0
265,4.0,I,0.052764161562771805,0,0
266,4.0,I,0.3755307657772337,0,0
267,4.0,I,0.5725821948200001,0,0
268,4.0,I,0.2155071255105626,0,0
269,4.0,I,0.08329572987585387,0,0
270,4.0,I,0.06940117637753729,0,0
271,4.0,I,0.4530422646451693,0,0
272,4.0,I,0.4660903013456713,0,0
273,4.0,I,0.25419791074017284,0,0
274,4.0,I,0.11575510242015764,0,0
275,4.0,I,0.17831203408843688,0,0
276,4.0,I,0.05221846881451975,0,0
277,4.0,I,0.2199608850827338,0,0
278,4.0,I,0.2194181518242435,0,0
279,4.0,I,0.10646242106936826,0,0
280,4.0,I,0.00631871752815516,0,0
281,4.0,I,0.3830038249927149,0,0
282,4.0,I,0.362272251372152,0,0
283,4.0,I,0.36364574174041053,0,0
284,4.0,I,0.3992049952408639,0,0
285,4.0,I,0.2836290408405966,0,0
286,4.0,I,0.3045747306127253,0,0
287,4.0,I,0.028441234325164436,0,0
288,4.0,I,0.2070291215042564,0,0
289,4.0,I,0.037735794288679465,0,0
290,4.0,I,0.2057693905412561,0,0
291,4.0,I,0.3697227441669197,0,0
292,4.0,I,0.6424972156434463,0,0
293,4.0,I,0.15742050020035006,0,0
294,4.0,I,0.5016200190458171,0,0
295,4.0,I,0.31427933673991004,0,0
296,4.0,I,0.05609273905452139,0,0
297,4.0,I,0.058669543552180785,0,0
298,4.0,I,0.4553135535430131,0,0
299,4.0,I,0.2823109178387728,0,0
300,4.0,I,0.09584181391423352,0,0
301,4.0,I,0.5818933802786599,0,0
302,4.0,I,0.09915218935896453,0,0
303,4.0,I,0.1034734996637604,0,0
619,4.0,U,0.2995591891459207,0,1
620,4.0,U,0.17153939465596602,0,1
621,4.0,U,0.24527719404072826,0,1
622,4.0,U,0.20893458623303046,0,1
623,4.0,U,0.1997452982605876,0,1
624,4.0,U,0.07067205800653538,0,1
625,4.0,U,0.7126834541086768,0,1
626,4.0,U,0.009638284980395095,0,1
627,4.0,U,0.0940086449005062,0,1
628,4.0,U,0.15386384418624655,0,1
629,4.0,U,0.03653714220952908,0,1
630,4.0,U,0.14231662295109834,0,1
631,4.0,U,0.16767616495347365,0,1
632,4.0,U,0.02797687001965754,0,1
633,4.0,U,0.09277008344354064,0,1
634,4.0,U,0.1558627771786939,0,1
635,4.0,U,0.054256558915715465,0,1
636,4.0,U,0.05352554732318715,0,1
637,4.0,U,0.2023934889645504,0,1
638,4.0,U,0.10088863994199028,0,1
639,4.0,U,0.31540692297795503,0,1
640,4.0,U,0.16915379375714978,0,1
641,4.0,U,0.13104031162718527,0,1
642,4.0,U,0.22133040226745587,0,1
643,4.0,U,0.3412610297941545,0,1
644,4.0,U,0.048098682006277205,0,1
645,4.0,U,0.038452669173759,0,1
646,4.0,U,0.3413467178574827,0,1
647,4.0,U,0.2200311074971973,0,1
648,4.0,U,0.17383240982362386,0,1
649,4.0,U,0.04641157872592805,0,1
650,4.0,U,0.25932480544117803,0,1
651,4.0,U,0.11193153246885644,0,1
652,4.0,U,0.06027471364451775,0,1
653,4.0,U,0.3335334026609952,0,1
654,4.0,U,0.5028267631257184,0,1
655,4.0,U,0.16331301010817134,0,1
656,4.0,U,0.0978972698531132,0,1
657,4.0,U,0.004465021278676651,0,1
658,4.0,U,0.469715971276785,0,1
659,4.0,U,0.09036094536798643,0,1
660,4.0,U,0.17729072350497133,0,1
661,4.0,U,0.082491380077166,0,1
662,4.0,U,0.01680619171969594,0,1
663,4.0,U,0.17536899236007986,0,1
664,4.0,U,0.04865140579061599,0,1
665,4.0,U,0.017738292163642644,0,1
666,4.0,U,0.2560108482737277,0,1
667,4.0,U,0.026173290541708586,0,1
668,4.0,U,0.28283346661007946,0,1
669,4.0,U,0.07490544139735555,0,1
670,4.0,U,0.07842174473044472,0,1
671,4.0,U,0.12609185358141586,0,1
672,4.0,U,0.2938994279743846,0,1
673,4.0,U,0.058790231380173925,0,1
674,4.0,U,0.3545712426544278,0,1
675,4.0,U,0.4171310014890087,0,1
676,4.0,U,0.18228244358868986,0,1
677,4.0,U,0.4642903852594696,0,1
678,4.0,U,0.17859664661344374,0,1
679,4.0,U,0.24289775882872974,0,1
680,4.0,U,0.11684495024245845,0,1
681,4.0,U,0.08633380026211745,0,1
682,4.0,U,0.0069937990448338825,0,1
683,4.0,U,0.338732279366772,0,1
684,4.0,U,0.08033042656839956,0,1
685,4.0,U,0.09169711946876592,0,1
686,4.0,U,0.18564028288748013,0,1
687,4.0,U,0.35480863076614155,0,1
688,4.0,U,0.3435652491074033,0,1
689,4.0,U,0.28846332614165915,0,1
690,4.0,U,0.08150318905455434,0,1
691,4.0,U,0.0384283177453314,0,1
692,4.0,U,0.022349676722819345,0,1
693,4.0,U,0.16321482291763054,0,1
694,4.0,U,0.227312404021194,0,1
695,4.0,U,0.08930894710658488,0,1
696,4.0,U,0.04830569701069709,0,1
697,4.0,U,0.3978036755704251,0,1
698,4.0,U,0.117685654475355,0,1
699,4.0,U,0.1439082684545902,0,1
1015,4.0,mean80,0.21777777777777785,0,2
1016,4.0,mean80,0.2122222222222221,0,2
1017,4.0,mean80,0.22777777777777786,0,2
1018,4.0,mean80,0.17222222222222214,0,2
1019,4.0,mean80,0.18222222222222215,0,2
1020,4.0,mean80,0.03222222222222215,0,2
1021,4.0,mean80,0.4677777777777778,0,2
1022,4.0,mean80,0.2722222222222221,0,2
1023,4.0,mean80,0.04222222222222216,0,2
1024,4.0,mean80,0.0575,0,2
1025,4.0,mean80,0.022500000000000075,0,2
