,A,B,C,D,AB,CD,pred
98095784.0,0.20483276469913342,3.643566293128706,0.9359057831510252,0.7048327646991335,0.0,0.0,0.0
38339051.0,3.803052540894974,3.725198900618425,-0.19694745910653022,1.3295365716168017,0.0,0.0,0.0
98886326.0,-0.025492031865476647,1.9681157195707402,0.019110070930640002,0.04471025692950838,0.0,0.0,0.0
75570314.0,0.99363337778673,1.7789343361135708,1.064094216848975,1.987264206800245,0.0,0.0,0.0
43249261.0,0.20483276469913345,3.5000000000519425,0.935905783151025,0.5,0.0,0.0,0.0
35774746.0,2.06409421684895,-0.0837225674716045,0.9423902233029033,0.05760977669709669,0.0,0.0,0.0
49785195.0,-2.9872642068002477,1.8620300695016578,1.9808899290693602,0.9162774325283954,0.0,0.0,0.0
19679410.0,2.9958081898816444,-2.4999999999720406,1.0,3.0,0.0,0.0,0.0
99533766.0,0.07714744645905,-0.2128674137425874,1.8690101195655455,0.1666666666666666,0.0,0.0,0.0
15686827.0,-0.025492031867685186,-0.11042707816710462,-0.0837225674716045,0.14502156187411058,0.0,0.0,0.0
79351775.0,1.0,3.5000000000519425,3.7048327646991335,0.0,0.0,0.0,0.0
77634059.0,0.2048327646991334,-0.22944373773169854,1.0127357931997552,0.32953657161680094,0.0,0.0,0.0
40040287.0,-2.051149423451922,-0.7048327646991335,0.21286741374531587,0.2128674137425875,0.0,0.0,0.0
38050870.0,3.9936333777867303,1.7789343361135708,-0.05760977669709684,0.11722331124496113,0.0,0.0,0.0
97558376.0,0.1309898804344546,-0.7531833111066351,1.8690101195655455,0.09698668402067832,0.0,0.0,0.0
18856656.0,0.96811571957074,-0.3564337068712932,1.0,0.9030133159793545,0.0,0.0,0.0
67241704.0,-0.006366622213269965,3.7951672353008665,-0.006366622213269965,0.004040195215579523,0.0,0.0,0.0
51753790.0,0.13796993049834222,1.8406366554771172,-0.8478494027645244,4.05114942345192,0.0,0.0,0.0
