,user,userID,pos,qn,q1,q2,p1,p2,p12,p123,fal,irr,ent,a00,a01,a10,a11,qorder
826,91.0,16591133.0,7.0,7.0,1.0,3.0,,,,,2.0,,0.0,,,,,
828,92.0,54715361.0,0.0,0.0,1.0,2.0,0.15,0.8,0.6,,1.0,0.44999999999999996,0.0,0.3288159540691409,0.49031439482586836,-0.22687411173631733,0.7745966692414834,0123
829,92.0,54715361.0,1.0,1.0,3.0,4.0,0.85,0.05,0.05,,1.0,0.0,0.0,,0.09262096826685898,1.0802336832905508,0.22360679774997896,2301
830,92.0,54715361.0,2.0,5.0,1.0,2.0,0.15,0.15,0.15,,1.0,0.0,0.0,0.8936040160070102,0.16042422288442437,0.16042422288442437,0.3872983346207417,0123
831,92.0,54715361.0,3.0,2.0,1.0,4.0,0.1,0.45,0.1,,1.0,0.0,0.0,0.6948688455202314,0.6324555320336758,0.13098582948312,0.31622776601683794,0312
832,92.0,54715361.0,4.0,4.0,2.0,4.0,0.8,0.35,0.9,,2.0,-0.09999999999999998,0.0,,-0.4282510375332762,0.8065076459814229,0.4584034180859291,1302
833,92.0,54715361.0,5.0,3.0,2.0,3.0,0.19,0.2,0.2,,2.0,0.0,0.0,0.8686648980657664,0.016014131736778237,0.14214113720780752,0.47430026308909,1203
834,92.0,54715361.0,6.0,6.0,1.0,3.0,0.02,0.02,0.02,,2.0,0.0,0.0,0.9868833614637453,0.0,0.04494897427831779,0.15505102572168222,0213
835,92.0,54715361.0,7.0,7.0,1.0,3.0,,,,,2.0,,0.0,,,,,
837,93.0,47485144.0,0.0,0.0,1.0,2.0,0.51,0.8,0.26,,1.0,-0.25,0.0,,0.7550091127080732,0.5000485424769293,0.5099019513592785,0123
838,93.0,47485144.0,1.0,1.0,3.0,4.0,0.29,0.69,0.1,,1.0,-0.18999999999999997,0.0,,0.8585062464302351,0.44534954456955284,0.31622776601683794,2301
839,93.0,47485144.0,2.0,4.0,2.0,4.0,0.34,0.71,0.35,,2.0,0.36,0.0,,0.3670164036577662,-0.16694245218533865,0.9915635773088707,1302
840,93.0,47485144.0,3.0,3.0,2.0,3.0,0.51,0.51,0.11,,2.0,0.4,0.0,,0.0,-0.435494229182405,1.4454447230186127,1203
841,93.0,47485144.0,4.0,5.0,1.0,2.0,0.79,0.81,0.3,,1.0,-0.49000000000000005,0.0,,0.7250696486306194,0.7092579514924875,0.5477225575051661,0123
842,93.0,47485144.0,5.0,2.0,1.0,4.0,0.51,0.25,0.24,,1.0,-0.010000000000000009,0.0,0.6651057608950546,0.21720883262991197,0.5200525452795722,0.4898979485566356,0312
843,93.0,47485144.0,6.0,6.0,1.0,3.0,,,,,2.0,,0.0,,,,,
844,93.0,47485144.0,7.0,7.0,1.0,3.0,0.51,0.51,0.35,,2.0,0.16000000000000003,0.0,0.09668397921952764,0.0,0.014744582759751879,0.995205911076456,0213
846,94.0,28917083.0,0.0,0.0,1.0,2.0,0.4,0.95,0.62,,1.0,0.21999999999999997,0.0,0.13877866236256334,0.591004087807841,0.10702640359873472,0.7874007874011811,0123
847,94.0,28917083.0,1.0,1.0,3.0,4.0,0.08,0.25,0.08,,1.0,0.0,0.0,0.8522172082161303,0.42426406871192857,0.11715728752538102,0.282842712474619,2301
848,94.0,28917083.0,2.0,2.0,1.0,4.0,0.18,0.34,0.09,,1.0,-0.09,0.0,0.7380871730860246,0.5246211251235322,0.3,0.3,0312
849,94.0,28917083.0,3.0,5.0,1.0,2.0,0.37,0.84,0.18,,1.0,-0.19,0.0,,0.8718840709696434,0.43596845799233414,0.4242640687119285,0123
850,94.0,28917083.0,4.0,3.0,2.0,3.0,0.54,0.44,0.55,,2.0,-0.010000000000000009,0.0,0.6243316117256119,-0.10114733257664055,0.34644010590182694,0.6927903786394995,1203
851,94.0,28917083.0,5.0,4.0,2.0,4.0,0.47,0.51,0.51,,2.0,0.0,0.0,0.6288549961910818,0.04041452235294207,0.22698119384909043,0.7425547776341754,1302
852,94.0,28917083.0,6.0,6.0,1.0,3.0,,,,,2.0,,0.0,,,,,
853,94.0,28917083.0,7.0,7.0,1.0,3.0,0.26,0.08,0.36,,2.0,-0.09999999999999998,0.0,0.6939512193819805,-0.3211102550927979,0.6392304845413265,0.08187977055147133,0213
855,95.0,54861410.0,0.0,0.0,1.0,2.0,0.41,0.81,0.27,,1.0,-0.13999999999999996,0.0,0.11742099294591125,0.7531769638651222,0.38592327154307837,0.5196152422706632,0123
856,95.0,54861410.0,1.0,1.0,3.0,4.0,0.41,0.34,0.59,,1.0,0.24999999999999994,0.0,0.622833581907226,0.05650655033667129,0.13742393902688077,0.7681145747868608,2301
857,95.0,54861410.0,2.0,3.0,2.0,3.0,0.56,0.4,0.79,,2.0,-0.22999999999999998,0.0,0.6215130969539819,-0.16387333342592048,0.6450532408341495,0.41324728359168694,1203
858,95.0,54861410.0,3.0,4.0,2.0,4.0,0.73,0.63,0.57,,2.0,0.16000000000000003,0.0,,-0.08580738132727483,0.18517246703001966,1.0231321303294374,1302
859,95.0,54861410.0,4.0,5.0,1.0,2.0,0.56,1.0,0.27,,1.0,-0.29000000000000004,0.0,,0.8945983201024319,0.5386852821551731,0.5196152422706632,0123
860,95.0,54861410.0,5.0,2.0,1.0,4.0,0.68,0.29,0.57,,1.0,0.27999999999999997,0.0,0.5107498185624887,0.006593867059315861,0.4112069354419853,0.7549834435270749,0312
861,95.0,54861410.0,6.0,6.0,1.0,3.0,,,,,2.0,,0.0,,,,,
862,95.0,54861410.0,7.0,7.0,1.0,3.0,0.59,0.41,0.37,,2.0,0.21999999999999997,0.0,0.2551587300806244,-0.18073953530627984,0.1480268614715322,0.9382511876484894,0213
864,96.0,37635638.0,0.0,0.0,1.0,2.0,0.34,0.85,0.51,,1.0,0.16999999999999998,0.0,0.3606261841081445,0.5896976381862448,0.11047828226924716,0.714142842854285,0123
865,96.0,37635638.0,1.0,1.0,3.0,4.0,0.56,0.51,0.53,,1.0,0.020000000000000018,0.0,0.530489338547724,0.281939504908156,0.3302895354977845,0.7280109889280518,2301
866,96.0,37635638.0,2.0,3.0,2.0,3.0,0.57,0.21,0.42,,2.0,0.14999999999999997,0.0,0.4968334523442392,-0.41963375536234515,0.47442314619139647,0.5932846790117345,1203
867,96.0,37635638.0,3.0,4.0,2.0,4.0,0.51,0.51,0.51,,2.0,0.0,0.0,0.5791706250463028,0.0,0.22698119384909043,0.7829692999871174,1302
868,96.0,37635638.0,4.0,2.0,1.0,4.0,0.51,0.84,0.51,,1.0,0.0,0.0,0.25252260905815654,0.582005296827287,0.29580765098192285,0.714142842854285,0312
869,96.0,37635638.0,5.0,5.0,1.0,2.0,0.29,0.51,0.12,,1.0,-0.16999999999999998,0.0,0.5170594411790126,0.6635403323224324,0.4151671490726153,0.34641016151377546,0123
870,96.0,37635638.0,6.0,6.0,1.0,3.0,0.51,0.51,0.28,,2.0,0.22999999999999998,0.0,,0.0,-0.09343535484503973,1.1033858486812476,0213
871,96.0,37635638.0,7.0,7.0,1.0,3.0,,,,,2.0,,0.0,,,,,
873,97.0,43231329.0,0.0,0.0,1.0,2.0,0.2,0.5,0.2,,1.0,0.0,0.0,0.6783160148110569,0.5527864045000421,0.18524193653371795,0.4472135954999579,0123
874,97.0,43231329.0,1.0,1.0,3.0,4.0,0.65,0.2,0.1,,1.0,-0.1,0.0,0.3480089870862502,0.31622776601683794,0.8239476590823,0.31622776601683794,2301
875,97.0,43231329.0,2.0,5.0,1.0,2.0,0.9,0.47,0.55,,1.0,0.08000000000000007,0.0,0.19501055149156352,0.22791612277369944,0.6000209377903075,0.7416198487095663,0123
876,97.0,43231329.0,3.0,2.0,1.0,4.0,0.6,0.9,0.7,,1.0,0.09999999999999998,0.0,,0.5049807599657983,0.2587850884762566,0.8366600265340756,0312
877,97.0,43231329.0,4.0,3.0,2.0,3.0,0.65,0.05,0.5,,2.0,0.15000000000000002,0.0,,-0.8239476590823,0.9085171053747509,0.2316583197243871,1203
878,97.0,43231329.0,5.0,4.0,2.0,4.0,0.6,0.4,0.4,,2.0,0.19999999999999996,0.0,0.34522976182983633,-0.2010179240104163,0.20101792401041652,0.8944271909999155,1302
879,97.0,43231329.0,6.0,6.0,1.0,3.0,,,,,2.0,,0.0,,,,,
880,97.0,43231329.0,7.0,7.0,1.0,3.0,0.9,0.03,0.8,,2.0,0.09999999999999998,0.0,,-1.096691812221556,1.304244364204649,0.037396422295224774,0213
882,98.0,17752870.0,0.0,0.0,1.0,2.0,0.63,1.0,0.75,,1.0,0.12,0.0,,0.5481881585886565,0.25647181224774385,0.8660254037844386,0123
883,98.0,17752870.0,1.0,1.0,3.0,4.0,0.83,0.5,0.7,,1.0,0.19999999999999996,0.0,0.26313899289548376,0.16333997346592444,0.45174984613843705,0.8366600265340756,2301
884,98.0,17752870.0,2.0,5.0,1.0,2.0,0.5,0.6,0.51,,1.0,0.010000000000000009,0.0,0.5127321551816364,0.3813022721560472,0.285857157145715,0.714142842854285,0123
885,98.0,17752870.0,3.0,4.0,2.0,4.0,0.66,0.67,0.69,,2.0,-0.019999999999999907,0.0,0.4097391592278967,0.008671160971416958,0.2811657667147931,0.8677467625928124,1302
886,98.0,17752870.0,4.0,2.0,1.0,4.0,0.53,0.54,0.64,,1.0,0.10999999999999999,0.0,0.5000695929808592,0.23923048454132645,0.22956301409869995,0.8,0312
887,98.0,17752870.0,5.0,3.0,2.0,3.0,0.61,0.5,0.5,,2.0,0.10999999999999999,0.0,0.4056221607112859,-0.10453610171872607,0.22474487139158894,0.8797912303271374,1203
888,98.0,17752870.0,6.0,6.0,1.0,3.0,0.59,0.5,0.5,,2.0,0.08999999999999997,0.0,0.4469971193378884,-0.08627804912002146,0.22474487139158894,0.8615331777284325,0213
889,98.0,17752870.0,7.0,7.0,1.0,3.0,,,,,2.0,,0.0,,,,,
891,99.0,41718989.0,0.0,0.0,1.0,2.0,0.51,0.7,0.61,,1.0,0.09999999999999998,0.0,0.4193274517329732,0.40219098902925776,0.2289255262455424,0.7810249675906654,0123
892,99.0,41718989.0,1.0,1.0,3.0,4.0,0.61,0.51,0.66,,1.0,0.15000000000000002,0.0,0.46436414770656614,0.1975466533726118,0.29213226125513003,0.812403840463596,2301
893,99.0,41718989.0,2.0,5.0,1.0,2.0,0.79,0.6,0.75,,1.0,0.15000000000000002,0.0,0.21099929338448428,0.22941971122589355,0.39095510521321497,0.8660254037844386,0123
894,99.0,41718989.0,3.0,3.0,2.0,3.0,0.75,0.51,0.74,,2.0,0.010000000000000009,0.0,0.4108855024109141,-0.2147943775553811,0.48001594873892617,0.7447289226526628,1203
895,99.0,41718989.0,4.0,2.0,1.0,4.0,0.77,0.81,0.8,,1.0,0.030000000000000027,0.0,,0.3783650151358696,0.3465401735991699,0.8944271909999159,0312
896,99.0,41718989.0,5.0,4.0,2.0,4.0,0.51,0.69,0.68,,2.0,0.009999999999999898,0.0,0.5800161766827749,0.16478351861086526,0.25355167326149686,0.756398820574711,1302
897,99.0,41718989.0,6.0,6.0,1.0,3.0,0.51,0.44,0.43,,2.0,0.08000000000000002,0.0,0.5440561624631449,-0.07186734187152188,0.19769851719536868,0.8122519766408391,0213
898,99.0,41718989.0,7.0,7.0,1.0,3.0,,,,,2.0,,0.0,,,,,
900,100.0,35749462.0,0.0,0.0,1.0,2.0,0.2,0.95,0.2,,1.0,0.0,0.0,,0.9311912797090642,0.18524193653371795,0.4472135954999579,0123
901,100.0,35749462.0,1.0,1.0,3.0,4.0,0.4,0.1,0.05,,1.0,-0.05,0.0,0.6708203932499369,0.22360679774997896,0.6708203932499369,0.22360679774997896,2301
902,100.0,35749462.0,2.0,2.0,1.0,4.0,0.55,0.4,0.55,,1.0,0.15000000000000002,0.0,0.5764415276093182,0.15280734229034953,0.3071889994605853,0.7416198487095663,0312
903,100.0,35749462.0,3.0,5.0,1.0,2.0,0.7,0.4,0.55,,1.0,0.15000000000000002,0.0,0.48129283562150016,0.15280734229034953,0.44159610791035686,0.7416198487095663,0123
904,100.0,35749462.0,4.0,4.0,2.0,4.0,0.05,0.12,0.2,,2.0,-0.08000000000000002,0.0,0.9422267378064888,0.17367018253979766,0.2846987206848478,0.03152904533199008,1302
905,100.0,35749462.0,5.0,3.0,2.0,3.0,0.2,0.1,0.2,,2.0,0.0,0.0,0.8748923037542239,-0.18524193653371795,0.3273830737415255,0.30507245829215046,1203
906,100.0,35749462.0,6.0,6.0,1.0,3.0,,,,,2.0,,0.0,,,,,
907,100.0,35749462.0,7.0,7.0,1.0,3.0,0.01,0.01,0.01,,2.0,0.0,0.0,0.9934633282446769,0.0,0.03178372451957823,0.10963763171773128,0213
909,101.0,29909954.0,0.0,0.0,1.0,2.0,0.42,0.8,0.49,,1.0,0.07,0.0,0.3794689503528947,0.5649110640673518,0.21651513899116803,0.7,0123
910,101.0,29909954.0,1.0,1.0,3.0,4.0,0.54,0.41,0.39,,1.0,-0.019999999999999962,0.0,0.5991791889033959,0.2810387139739018,0.41473068470148666,0.6244997998398398,2301
911,101.0,29909954.0,2.0,2.0,1.0,4.0,0.41,0.57,0.61,,1.0,0.2,0.0,0.5406563751201909,0.2866828576124657,0.1245135462230762,0.7810249675906654,0312
912,101.0,29909954.0,3.0,3.0,2.0,3.0,0.44,0.49,0.5,,2.0,-0.010000000000000009,0.0,0.6690047233077414,0.05186634169648063,0.23479537773042236,0.7032877742342636,1203
913,101.0,29909954.0,4.0,5.0,1.0,2.0,0.36,0.57,0.54,,1.0,0.18000000000000005,0.0,0.5798967159108888,0.33286090236817767,0.11368121458890357,0.7348469228349535,0123
914,101.0,29909954.0,5.0,4.0,2.0,4.0,0.58,0.58,0.76,,2.0,-0.18000000000000005,0.0,0.6306382862806054,0.0,0.4329339256272493,0.6440990357996514,1302
915,101.0,29909954.0,6.0,6.0,1.0,3.0,0.37,0.39,0.72,,2.0,-0.32999999999999996,0.0,0.7619388015797607,0.02294355992852204,0.5865177590371222,0.27371476766714053,0213
916,101.0,29909954.0,7.0,7.0,1.0,3.0,,,,,2.0,,0.0,,,,,
918,102.0,91120038.0,0.0,0.0,1.0,2.0,0.41,0.81,0.45,,1.0,0.040000000000000036,0.0,0.36405678179361006,0.6019718128858486,0.2347181205638047,0.6708203932499369,0123
919,102.0,91120038.0,1.0,1.0,3.0,4.0,0.32,0.43,0.27,,1.0,-0.04999999999999999,0.0,0.6965106545384656,0.4077466072789071,0.2803847577293368,0.5196152422706632,2301
920,102.0,91120038.0,2.0,2.0,1.0,4.0,0.31,0.26,0.28,,1.0,0.020000000000000018,0.0,0.7851484110494925,0.19195999287987975,0.25825052518826297,0.5291502622129182,0312
921,102.0,91120038.0,3.0,5.0,1.0,2.0,0.39,0.42,0.59,,1.0,0.19999999999999996,0.0,0.6121585750731371,0.14840056420430714,0.11506151184592384,0.7681145747868608,0123
922,102.0,91120038.0,4.0,3.0,2.0,3.0,0.76,0.27,0.6,,2.0,0.16000000000000003,0.0,,-0.49803587775884184,0.6067938636649204,0.6260889369288749,1203
923,102.0,91120038.0,5.0,4.0,2.0,4.0,0.71,0.57,0.69,,2.0,0.020000000000000018,0.0,0.41664362456577164,-0.12392970357816724,0.3710416317906846,0.8205958969906137,1302
924,102.0,91120038.0,6.0,6.0,1.0,3.0,0.6,0.29,0.31,,2.0,0.29,0.0,0.22488278661482233,-0.3338678044239414,0.20278776551290467,0.8926573494974275,0213
925,102.0,91120038.0,7.0,7.0,1.0,3.0,,,,,2.0,,0.0,,,,,
927,103.0,71031180.0,0.0,0.0,1.0,2.0,0.61,1.0,0.61,,1.0,0.0,0.0,,0.6331885947824297,0.32351113412806065,0.7810249675906654,0123
928,103.0,71031180.0,1.0,1.0,3.0,4.0,0.86,0.19,0.41,,1.0,0.21999999999999997,0.0,0.37276522940985696,-0.02387102344638725,0.6711752811171152,0.6403124237432849,2301
929,103.0,71031180.0,2.0,3.0,2.0,3.0,0.56,0.18,0.41,,2.0,0.15000000000000008,0.0,0.4786991557519751,-0.45830052442583635,0.5090536506409417,0.5492468737848946,1203
930,103.0,71031180.0,3.0,5.0,1.0,2.0,0.76,0.66,0.85,,1.0,0.18999999999999995,0.0,0.04258622359060723,0.22695808357831693,0.31092835486450654,0.9219544457292888,0123
931,103.0,71031180.0,4.0,4.0,2.0,4.0,0.76,0.7,0.83,,2.0,-0.06999999999999995,0.0,0.3731563167644798,-0.04966684397387211,0.3947574271860268,0.8381253734077683,1302
932,103.0,71031180.0,5.0,2.0,1.0,4.0,0.62,0.85,0.77,,1.0,0.15000000000000002,0.0,,0.4263440423013175,0.2360564338267922,0.8774964387392122,0312
933,103.0,71031180.0,6.0,6.0,1.0,3.0,,,,,2.0,,0.0,,,,,
934,103.0,71031180.0,7.0,7.0,1.0,3.0,0.44,0.27,0.31,,2.0,0.13,0.0,0.6355722579754678,-0.2032362291297325,0.229518153264342,0.708564998700344,0213
936,104.0,44321708.0,0.0,0.0,1.0,2.0,0.34,0.95,0.51,,1.0,0.16999999999999998,0.0,0.19118185457514156,0.6642620323547371,0.11047828226924716,0.714142842854285,0123
937,104.0,44321708.0,1.0,1.0,3.0,4.0,0.7,0.01,0.2,,1.0,0.19,0.0,0.40594535449068925,-0.3057922392626484,0.7360023611199653,0.4472135954999579,2301
938,104.0,44321708.0,2.0,4.0,2.0,4.0,0.11,0.51,0.51,,2.0,0.0,0.0,0.772854353436989,0.5409089178538649,0.22698119384909043,0.24206038213325254,1302
939,104.0,44321708.0,3.0,3.0,2.0,3.0,0.51,0.1,0.23,,2.0,0.28,0.0,0.37919628713066844,-0.56273689833625,0.3834487907918496,0.6265017030443581,1203
940,104.0,44321708.0,4.0,2.0,1.0,4.0,0.03,0.98,0.17,,1.0,0.14,0.0,,0.9876894374382339,-0.16736158828344827,0.41231056256176607,0312
941,104.0,44321708.0,5.0,5.0,1.0,2.0,0.1,0.09,0.41,,1.0,0.31999999999999995,0.0,0.7113620392031748,-0.2160483550313564,-0.19309882824332697,0.6403124237432849,0123
942,104.0,44321708.0,6.0,6.0,1.0,3.0,0.01,0.02,0.05,,2.0,-0.030000000000000002,0.0,0.9794810764877627,0.05857864376269051,0.1872983346207417,-0.04587697838343219,0213
943,104.0,44321708.0,7.0,7.0,1.0,3.0,,,,,2.0,,0.0,,,,,
945,105.0,92257607.0,0.0,0.0,1.0,2.0,0.6,0.84,0.64,,1.0,0.040000000000000036,0.0,0.16293927552019777,0.4961481396815719,0.2954451150103321,0.8,0123
946,105.0,92257607.0,1.0,1.0,3.0,4.0,0.76,0.5,0.54,,1.0,0.040000000000000036,0.0,0.37636964560772806,0.26515307716504655,0.49803587775884184,0.7348469228349535,2301
947,105.0,92257607.0,2.0,2.0,1.0,4.0,0.56,0.57,0.6,,1.0,0.039999999999999925,0.0,0.4833197417904241,0.2931111559616477,0.2837038551843529,0.7745966692414834,0312
948,105.0,92257607.0,3.0,4.0,2.0,4.0,0.54,0.51,0.55,,2.0,-0.010000000000000009,0.0,0.5822809028810366,-0.029279990705118664,0.27457276403030506,0.7646577205110214,1302
949,105.0,92257607.0,4.0,5.0,1.0,2.0,0.57,0.66,0.51,,1.0,-0.05999999999999994,0.0,0.419484353698611,0.4347696864533207,0.35356498234884615,0.714142842854285,0123
950,105.0,92257607.0,5.0,3.0,2.0,3.0,0.54,0.51,0.52,,2.0,0.020000000000000018,0.0,0.5492794992760472,-0.029279990705118664,0.23904910584347183,0.8001813786978547,1203
951,105.0,92257607.0,6.0,6.0,1.0,3.0,0.66,0.46,0.51,,2.0,0.15000000000000002,0.0,0.35769457886153094,-0.18974622464506175,0.27776538302275433,0.8711471462848515,0213
952,105.0,92257607.0,7.0,7.0,1.0,3.0,,,,,2.0,,0.0,,,,,
954,106.0,70075922.0,0.0,0.0,1.0,2.0,0.19,0.76,0.44,,1.0,0.25,0.0,0.48312089173550005,0.5695578425227154,-0.046883557774182294,0.6633249580710799,0123
955,106.0,70075922.0,1.0,1.0,3.0,4.0,0.04,0.7,0.87,,1.0,0.83,0.0,,0.2504780513110417,-0.6498951928342624,0.9327379053088815,2301
956,106.0,70075922.0,2.0,3.0,2.0,3.0,0.36,0.93,0.58,,2.0,0.3500000000000001,0.0,,0.5152900322747286,-0.04472757387129378,0.8932557112951509,1203
957,106.0,70075922.0,3.0,2.0,1.0,4.0,0.51,0.07,0.34,,1.0,0.27,0.0,0.658895313181286,-0.20892945080713593,0.42685530435167773,0.5830951894845301,0312
958,106.0,70075922.0,4.0,4.0,2.0,4.0,0.59,0.23,0.78,,2.0,-0.19000000000000006,0.0,0.2309972588149803,-0.40804505080749465,0.8514728557653086,0.23480519335471284,1302
959,106.0,70075922.0,5.0,5.0,1.0,2.0,0.57,0.74,0.61,,1.0,0.040000000000000036,0.0,0.3436985632590035,0.4355275384689784,0.2866828576124657,0.7810249675906654,0123
960,106.0,70075922.0,6.0,6.0,1.0,3.0,,,,,2.0,,0.0,,,,,
961,106.0,70075922.0,7.0,7.0,1.0,3.0,0.61,0.63,0.87,,2.0,-0.24,0.0,0.618598715299903,0.017961114313456372,0.4930522261081687,0.6114838756105576,0213
963,107.0,91352376.0,0.0,0.0,1.0,2.0,0.1,0.77,0.76,,1.0,0.66,0.0,,0.3691875758909511,-0.42456619320817673,0.8717797887081347,0123
964,107.0,91352376.0,1.0,1.0,3.0,4.0,0.91,0.28,0.27,,1.0,-0.010000000000000009,0.0,,0.22871623508412509,0.829458514052541,0.5196152422706632,2301
965,107.0,91352376.0,2.0,2.0,1.0,4.0,0.04,0.97,0.02,,1.0,-0.02,0.0,,1.2514174714811024,0.1414213562373095,0.1414213562373095,0312
966,107.0,91352376.0,3.0,3.0,2.0,3.0,0.83,0.06,0.96,,2.0,-0.13,0.0,,-0.9419997111587372,1.3506461133339385,-0.06223624066142608,1203
967,107.0,91352376.0,4.0,5.0,1.0,2.0,0.95,0.05,0.32,,1.0,0.27,0.0,,-0.24945765893240007,0.8127194502597841,0.565685424949238,0123
968,107.0,91352376.0,5.0,4.0,2.0,4.0,0.94,0.97,0.94,,2.0,0.030000000000000027,0.0,,0.02170790763820296,0.2864467346562547,1.0846841854239542,1302
969,107.0,91352376.0,6.0,6.0,1.0,3.0,0.98,0.05,0.79,,2.0,0.18999999999999995,0.0,,-1.083772233983162,1.2232526658172274,0.17674733418277255,0213
970,107.0,91352376.0,7.0,7.0,1.0,3.0,,,,,2.0,,0.0,,,,,
972,108.0,57819102.0,0.0,0.0,1.0,2.0,0.7,0.88,0.7,,1.0,0.0,0.0,,0.4899898896080843,0.3465559300858476,0.8366600265340756,0123
973,108.0,57819102.0,1.0,1.0,3.0,4.0,0.8,0.08,0.41,,1.0,0.32999999999999996,0.0,0.3769966544943798,-0.24031242374328488,0.6245986403240669,0.6403124237432849,2301
974,108.0,57819102.0,2.0,2.0,1.0,4.0,0.09,0.91,0.3,,1.0,0.21,0.0,0.20638376316411894,0.8013511988180382,-0.12345848879323756,0.5477225575051661,0312
975,108.0,57819102.0,3.0,3.0,2.0,3.0,0.0,0.17,0.0,,2.0,0.17,0.0,,0.5830951894845301,-0.5830951894845301,0.5830951894845301,1203
976,108.0,57819102.0,4.0,5.0,1.0,2.0,0.9,0.7,0.81,,1.0,0.1100000000000001,0.0,,0.28321595661992316,0.4416407864998738,0.9,0123
977,108.0,57819102.0,5.0,4.0,2.0,4.0,0.3,0.79,0.75,,2.0,0.040000000000000036,0.0,0.6524362510700727,0.48238383975617016,0.24301949100234643,0.5315771782391367,1302
978,108.0,57819102.0,6.0,6.0,1.0,3.0,,,,,2.0,,0.0,,,,,
979,108.0,57819102.0,7.0,7.0,1.0,3.0,0.79,0.0,0.27,,2.0,0.52,0.0,,-1.2569805089976536,0.9,0.35698050899765355,0213
981,109.0,93574369.0,0.0,0.0,1.0,2.0,0.54,0.53,0.68,,1.0,0.15000000000000002,0.0,0.4816032028481268,0.20494188897516785,0.21460935941779435,0.8246211251235321,0123
982,109.0,93574369.0,1.0,1.0,3.0,4.0,0.3,0.43,0.51,,1.0,0.21000000000000002,0.0,0.6639902032854267,0.21321900669528537,0.06045382638719843,0.714142842854285,2301
983,109.0,93574369.0,2.0,3.0,2.0,3.0,0.61,0.45,0.57,,2.0,0.040000000000000036,0.0,0.5394388740933057,-0.1558528036682123,0.35898638501168834,0.7455497167070377,1203
984,109.0,93574369.0,3.0,2.0,1.0,4.0,0.57,0.56,0.54,,1.0,-0.020000000000000018,0.0,0.4945517033562101,0.3234536015908829,0.33286090236817767,0.7348469228349535,0312
985,109.0,93574369.0,4.0,5.0,1.0,2.0,0.44,0.48,0.65,,1.0,0.21000000000000002,0.0,0.5499882223699366,0.17357012228341617,0.13185737713483092,0.806225774829855,0123
986,109.0,93574369.0,5.0,4.0,2.0,4.0,0.41,0.58,0.63,,2.0,-0.050000000000000044,0.0,0.7159059690986261,0.17149444761315913,0.2977397470598513,0.6077987667538904,1302
987,109.0,93574369.0,6.0,6.0,1.0,3.0,,,,,2.0,,0.0,,,,,
988,109.0,93574369.0,7.0,7.0,1.0,3.0,0.51,0.66,0.6,,2.0,0.06000000000000005,0.0,0.5250649364716272,0.13896203547139785,0.19272825719226816,0.8172222366439394,0213
990,110.0,16564732.0,0.0,0.0,1.0,2.0,0.0,0.9,0.5,,1.0,0.5,0.0,,0.6345340053133263,-0.7071067811865476,0.7071067811865476,0123
991,110.0,16564732.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2301
992,110.0,16564732.0,2.0,3.0,2.0,3.0,0.17,0.17,0.17,,2.0,0.0,0.0,0.8823148744291017,0.0,0.13104765336975488,0.4520475361147752,1203
993,110.0,16564732.0,3.0,5.0,1.0,2.0,0.5,0.25,0.75,,1.0,0.5,0.0,0.4547479290337301,-0.15891862259789102,0.1339745962155614,0.8660254037844386,0123
994,110.0,16564732.0,4.0,4.0,2.0,4.0,0.18,0.18,0.18,,2.0,0.0,0.0,0.8748993783320642,0.0,0.13484692283495348,0.4651530771650465,1302
995,110.0,16564732.0,5.0,2.0,1.0,4.0,0.25,0.25,0.25,,1.0,0.0,0.0,0.8149929830207712,0.20710678118654757,0.20710678118654757,0.5,0312
996,110.0,16564732.0,6.0,6.0,1.0,3.0,,,,,2.0,,0.0,,,,,
997,110.0,16564732.0,7.0,7.0,1.0,3.0,0.2,0.1,0.25,,2.0,-0.04999999999999999,0.0,0.8629243613975092,-0.18524193653371795,0.41881180828448067,0.21364372374919527,0213
999,111.0,81888326.0,0.0,0.0,1.0,2.0,0.3,0.85,0.4,,1.0,0.10000000000000003,0.0,0.3592188015128598,0.6713849490068539,0.14214113720780752,0.6324555320336759,0123
1000,111.0,81888326.0,1.0,1.0,3.0,4.0,0.7,0.35,0.38,,1.0,0.030000000000000027,0.0,0.5002702859085753,0.22021862623717792,0.5667745563230255,0.6164414002968976,2301
1001,111.0,81888326.0,2.0,2.0,1.0,4.0,0.2,0.85,0.3,,1.0,0.09999999999999998,0.0,0.3480028861031484,0.7561179235353637,0.08473297452850981,0.5477225575051661,0312
1002,111.0,81888326.0,3.0,5.0,1.0,2.0,0.45,0.8,0.53,,1.0,0.08000000000000002,0.0,0.3647492855400468,0.5369000751392999,0.22067230912246194,0.7280109889280518,0123
1003,111.0,81888326.0,4.0,3.0,2.0,3.0,0.65,0.15,0.42,,2.0,0.23000000000000004,0.0,,-0.592452867593972,0.5747746585270164,0.5654007665721217,1203
1004,111.0,81888326.0,5.0,4.0,2.0,4.0,0.55,0.6,0.75,,2.0,-0.15000000000000002,0.0,0.647377196518728,0.04663626684018052,0.40455488498966785,0.6442539631804838,1302
1005,111.0,81888326.0,6.0,6.0,1.0,3.0,,,,,2.0,,0.0,,,,,
