,A,B,C,D,AB,CD,pred
98095784.0,0.7951672353008665,1.3564337068712942,0.9359057831510252,0.2951672353008665,0.0,0.0,0.0
38339051.0,-0.19694745910693445,-2.725198900618426,1.803052540894974,1.6704634283831992,0.0,0.0,0.0
98886326.0,1.974507968134524,-0.9681157195707404,0.01911007093064007,2.0447102569295086,0.0,0.0,0.0
75570314.0,2.9936333777866695,3.7789343361135708,1.9359057831510254,-0.012735793199738728,0.0,0.0,0.0
43249261.0,0.7951672353008766,-0.5000000004826723,0.06409421684897519,0.5,0.0,0.0,0.0
35774746.0,0.06409421684897494,1.9162774325283953,0.9423902233029018,0.9423902233029018,0.0,0.0,0.0
49785195.0,1.9872642068002448,-0.137969930498342,3.0191100709306404,0.08372256747160471,0.0,0.0,0.0
19679410.0,-4.0,3.5000000000519425,-3.9999999999959885,-3.0,0.0,0.0,0.0
99533766.0,0.07714744645905,3.787132586257412,-0.13098988043445461,0.8333333333333333,0.0,0.0,0.0
15686827.0,-2.025492031865477,-2.1104270781671044,3.083722567471605,0.8549784381258895,0.0,0.0,0.0
79351775.0,2.000017779995358,3.5000000028250544,1.7048327646991353,0.0,0.0,0.0,0.0
77634059.0,0.7951672353008665,1.7705562622683009,-0.012735793199738882,0.3295365716168009,0.0,0.0,0.0
40040287.0,-0.9488505765480787,1.704832764699133,0.7871325862574124,0.2128674137425874,0.0,0.0,0.0
38050870.0,-0.9936333777867301,3.7789343361135708,3.0576097766970967,0.117223311244962,0.0,0.0,0.0
97558376.0,0.8690101195655453,1.7531833111066302,-0.8690101195655456,0.903013315979322,0.0,0.0,0.0
18856656.0,0.9681157195707403,-2.6435662931287065,1.0,0.903013315979322,0.0,0.0,0.0
67241704.0,-0.006366622213270085,-0.204832764699266,-2.0063666222132697,0.0,0.0,0.0,0.0
51753790.0,0.13796993049834214,1.159363344522883,-0.1521505972369661,-1.0511494234519216,0.0,0.0,0.0
28917083.0,0.9488505765480785,2.0771474464590503,-0.06409421684897504,1.9423902233029033,0.0,0.0,0.0
35749462.0,2.0012672646636127,-2.9936333777867303,-0.9936333777867294,-0.006366622213270309,0.0,0.0,0.0
29909954.0,0.27480109938157465,-0.628188433697949,0.08372256747160478,0.43623143914148016,0.0,0.0,0.0
91120038.0,-0.07714744645904996,1.1740680638755199,-0.19694745910653005,2.2210656638864292,0.0,0.0,0.0
92257607.0,0.03188428042925998,1.8895729218328954,0.05760977669709675,-2.057609776693927,0.0,0.0,0.0
91352376.0,3.064094216848975,-0.7951672353008659,-0.8690101195655457,0.8690101195655453,0.0,0.0,0.0
57819102.0,0.8406366554771173,1.8620300695016583,0.9030133159793218,0.8963170839725421,0.0,0.0,0.0
81888326.0,-0.0837225674716045,1.342457574575956,1.9359057831510254,0.04471025692950837,0.0,0.0,0.0
66763888.0,0.13098988043445456,-0.7951672353008665,5.929394261142248,0.23802023913109074,0.0,0.0,0.0
79758094.0,0.15936334451865108,-0.9936333777858212,-0.13098988043445464,0.935905783151025,0.0,0.0,0.0
37288033.0,1.9936333777867303,0.04471025692950838,-2.9552897430704923,-0.04471025692950856,0.0,0.0,0.0
69269118.0,0.903013315979322,-0.13098988043445464,1.6575424254240427,0.7348254690531806,0.0,0.0,0.0
20900690.0,0.9617105412258569,-0.29516723530086747,1.7531833111066402,0.9030133159793218,0.0,0.0,0.0
83377804.0,1.1891988763475958,1.3295365716168013,1.103682916028278,-2.051149423448802,0.0,0.0,0.0
91293328.0,0.9293942611422475,1.8895729218328956,1.8963170839725416,0.06409421684897494,0.0,0.0,0.0
27446455.0,-0.0837225674716045,3.004421757256099,-0.28478097445635736,-0.006366622213269917,0.0,0.0,0.0
81144109.0,-0.05114942345192161,-0.20483276469913356,3.0640942168489755,0.031884280429259976,0.0,0.0,0.0
26090325.0,0.3060266319586434,1.5000000002906486,3.0254920318654848,0.6939733680413565,0.0,0.0,0.0
60853534.0,0.9745079681345233,1.9488505765480781,-0.09698668402067828,-1.0969866840206786,0.0,0.0,0.0
40081083.0,0.5903344706017332,1.6704634283831836,1.8333333333333333,0.7251989006184253,0.0,0.0,0.0
54337518.0,0.8690101195655453,1.590334470601736,1.7441417753461648,0.18919887635252802,0.0,0.0,0.0
78551091.0,0.5000000000003032,1.500000006714956,0.00636662221327001,-0.0771474464590503,0.0,0.0,0.0
41791574.0,-0.07060573885775231,3.787132586257412,1.9293942611422477,0.13098988043445461,0.0,0.0,0.0
57027982.0,-0.11722331124496126,1.3424575745759555,0.1969474591065301,0.7152190255436426,0.0,0.0,0.0
27645475.0,1.987264206800245,1.9423902233029033,1.0447102569295084,-0.9936333777867303,0.0,0.0,0.0
68704845.0,0.9162774325284303,-0.5903344706017337,1.8030525408934697,0.09033447060173318,0.0,0.0,0.0
10477237.0,1.9359057831510254,-0.2951672352982402,0.0,0.23802023913109072,0.0,0.0,0.0
79735369.0,0.5,1.8620300695016583,-0.00636662221326996,0.4999999999997227,0.0,0.0,0.0
21639897.0,-0.16666666666666669,3.5000000000519425,3.833333333333333,1.0969866840206783,0.0,0.0,0.0
86182802.0,0.4999999999999967,1.704832764699133,1.8333333333333335,0.24681668889336508,0.0,0.0,0.0
32360531.0,-0.8478494027630339,-0.25585822465383995,0.7348254690531805,1.7871325862574121,0.0,0.0,0.0
40904762.0,0.840636655477117,1.7348254690531806,-0.24681668889336492,0.7705562622683008,0.0,0.0,0.0
77199121.0,1.0,1.6435662931287065,-2.064094216848975,0.8620300695016581,0.0,0.0,0.0
41915558.0,0.8690101195655456,1.1593633445228826,-0.16666666666666663,0.935905783151025,0.0,0.0,0.0
91480091.0,0.14502156187411058,-0.13098988043445464,0.07060573885775251,0.13098988043445456,0.0,0.0,0.0
97992062.0,-0.8690101195655456,1.8333333333333335,-0.06409421684897497,1.8333333333333335,0.0,0.0,0.0
11260803.0,-0.14502156187711668,1.8259319361244761,3.8333333333333335,0.8690101195655453,0.0,0.0,0.0
30592959.0,-0.9936333777867299,-0.0837225674716045,-0.038289458774146565,1.01911007093064,0.0,0.0,0.0
92545703.0,1.9936333777867299,3.682554890993829,1.7951672353008663,0.13098988043445453,0.0,0.0,0.0
85475010.0,0.038289458774146655,3.643566293128706,-0.03188428042925999,0.7951672353008852,0.0,0.0,0.0
12052628.0,3.9936333777867303,1.6435662931287065,1.9030133159793217,-2.00636662221327,0.0,0.0,0.0
71923595.0,0.9488505765480784,3.682554890993829,0.05760977669709666,0.9228525535409501,0.0,0.0,0.0
96987285.0,-0.07060573885775229,-0.11722331124496108,1.6704634283831994,-0.03828945877414647,0.0,0.0,0.0
55319912.0,0.0,1.7531833111066355,-0.13098988043445464,1.8690101195655164,0.0,0.0,0.0
57314335.0,-0.9936333777867299,-0.2468166888933649,-0.019110070930639995,0.753183311105482,0.0,0.0,0.0
46798937.0,0.778934336113571,-0.25585822465383984,1.3718115663020505,0.8549784381258886,0.0,0.0,0.0
61449173.0,0.9681157195707403,-0.5637685608585203,1.0511494234519216,-0.038289458774146475,0.0,0.0,0.0
75105092.0,0.6939733680413567,1.7871325862574121,1.2128674137425877,0.8690101195655456,0.0,0.0,0.0
85478043.0,1.174068063875532,1.2294437377316993,0.13796993049834225,0.22944373773169932,0.0,0.0,0.0
44990177.0,0.2951672353008665,1.1815757713680999,1.6939733680413565,0.8549784381258887,0.0,0.0,0.0
48001917.0,0.8333333333333333,-2.1309898804344547,-0.031884280429259976,0.1309898804344547,0.0,0.0,0.0
56266110.0,0.9359057831510251,-0.11042707816710462,1.9096655293982672,-0.05114942345192193,0.0,0.0,0.0
84163871.0,0.3564337068712937,-0.4999999874054567,1.9359057831510254,0.2951672353008665,0.0,0.0,0.0
48942917.0,1.4999999989214428,1.499999999815137,3.500000011771112,-0.006366622213269963,0.0,0.0,0.0
53853586.0,0.7871325862574124,-0.23802023913109044,1.9552897430704923,0.11042707816710474,0.0,0.0,0.0
12690494.0,1.9359057831510254,3.761979760868909,3.8259319361244764,5.00000985760566,0.0,0.0,0.0
65163543.0,-0.9030133159793219,3.7048327646991335,1.8259319361244764,0.16666666666666663,0.0,0.0,0.0
21896308.0,0.8478494027630339,1.064094216848975,0.08372256747160478,0.03828945877414666,0.0,0.0,0.0
76021200.0,-0.006366622213269965,1.8478494027630339,0.8620300695016585,-0.006366622213270155,0.0,0.0,0.0
42625100.0,-0.9228525535409499,1.3060266319586438,0.8406366554771185,0.1815757713680997,0.0,0.0,0.0
30645226.0,0.9359057831510251,1.6435662931287063,0.6825548909938285,0.8333333333333333,0.0,0.0,0.0
33841145.0,-0.14502156187411047,3.5000000000519425,-0.21286741374258758,0.7048327646991334,0.0,0.0,0.0
29087079.0,-0.006366622213269965,3.6939733680413567,1.9936333777867303,-0.006366622213269926,0.0,0.0,0.0
17180338.0,1.8620300695016578,3.810801123652401,-1.6435662931287065,0.5000000000003031,0.0,0.0,0.0
72755560.0,0.09033447060173315,3.7705562622727906,-0.17406806387552376,0.1379699304983422,0.0,0.0,0.0
26277130.0,0.8259319361244765,-0.8406366554771174,0.5000000000003032,-2.083722567471605,0.0,0.0,0.0
27674293.0,0.8333333333387013,-0.21286741374258747,1.9423902233029033,0.27480109938157465,0.0,0.0,0.0
70450765.0,1.8690101195655453,-0.5000000121604775,0.6704634283831992,0.7048327646991335,0.0,0.0,0.0
35159341.0,0.2951672353008669,-0.5000000132821927,-0.9977346230983446,0.29516723530086664,0.0,0.0,0.0
44999736.0,1.9681157195707402,1.9030133159793219,-0.9293942611422477,-2.0511494234519216,0.0,0.0,0.0
21566630.0,-0.9552897430665336,0.2847809744563575,1.7441417753461603,0.49999999999999994,0.0,0.0,0.0
21182199.0,1.0,1.8690101195655453,-2.1309898804344547,0.8690101195655453,0.0,0.0,0.0
49562740.0,-0.137969930498342,3.8259319361244764,1.8690101195655455,1.0,0.0,0.0,0.0
16707185.0,1.5000000002906486,1.5000000002906486,3.4999999875749324,1.5000000101980748,0.0,0.0,0.0
28368484.0,-0.012735793199754852,-0.006366622213269965,1.9936333777867303,-2.00636662221327,0.0,0.0,0.0
83170694.0,1.9808899290693602,1.7048327646991346,0.9936333777867301,0.778934336113571,0.0,0.0,0.0
39436190.0,-0.28478097445635786,1.5000000002906486,-0.29516723530086647,0.5000000000000253,0.0,0.0,0.0
78739257.0,0.8690101195655453,-0.13098988043445464,0.0,0.06409421684897486,0.0,0.0,0.0
99495607.0,0.2847809744563575,1.590334470601733,0.15215059723696622,0.14502156187411058,0.0,0.0,0.0
87872441.0,1.9936333777867297,3.499999996389448,0.2048327646991335,0.5,0.0,0.0,0.0
65660803.0,-0.8406366554771173,-0.6575424254240443,-0.10368291602745826,0.8549784381258895,0.0,0.0,0.0
85500471.0,2.057609776697097,3.787132586257411,0.8827766887550387,-1.9552897430704914,0.0,0.0,0.0
42351003.0,0.4362314391414802,0.9162774325283954,0.32953657161680106,0.5,0.0,0.0,0.0
69004676.0,1.246816688893365,3.725198900618425,3.7531833111066346,0.124076014765585,0.0,0.0,0.0
57275459.0,0.9488505765480785,1.7951672353008667,-2.025492031865477,0.05760977669709673,0.0,0.0,0.0
28205471.0,-0.006366622213269965,1.6704634283831998,1.7871325862574123,0.8827766887550387,0.0,0.0,0.0
13834440.0,-0.07060573885775229,1.7152190255436426,1.9936333777867303,2.8259319361244764,0.0,0.0,0.0
39437933.0,0.7871325862574127,0.9617105412258534,1.862030069501658,0.10368291602745823,0.0,0.0,0.0
47208706.0,0.05760977669709669,1.56376856085852,-0.8620300695016577,0.3891753133955406,0.0,0.0,0.0
28981619.0,0.5000000000003032,3.5000000000519425,-0.4999999960023095,1.9617105412258535,0.0,0.0,0.0
26261402.0,-0.13098988043445464,1.7251989006184254,-0.7951672353008663,0.3174451090061717,0.0,0.0,0.0
67434220.0,3.00636662221327,1.1969474591065303,1.01911007093064,-0.012735793199754888,0.0,0.0,0.0
30948180.0,-1.98088992906936,-0.2468166888952075,0.05114942345192173,0.80305254089347,0.0,0.0,0.0
34870851.0,0.7619797608689093,3.159363344522883,0.778934336113571,0.13098988043445461,0.0,0.0,0.0
66787545.0,-0.10368291602745844,3.643566293128706,1.9488505765480781,1.9228525535409502,0.0,0.0,0.0
21180742.0,2.500000000000705,1.4999999986962396,0.4999999999997827,1.98088992906936,0.0,0.0,0.0
13917173.0,0.2651745309468196,-0.20483276469913358,0.7951672353008665,0.8108011236524005,0.0,0.0,0.0
77423609.0,0.7152190255436426,1.9030133159793219,2.1379699304983424,0.17406806387552362,0.0,0.0,0.0
16395257.0,1.00636662221327,-0.8690101195655449,-0.0063666222132700255,-4.99363337778673,0.0,0.0,0.0
33115914.0,-0.006366622213269965,1.5000000002906486,-0.22106566388642906,-0.8030525408934701,0.0,0.0,0.0
24294903.0,-0.006366622213269965,1.7619797608689092,0.8478494027630339,1.9872642068002448,0.0,0.0,0.0
15834726.0,0.13796993049834225,-0.6281884336979494,3.7531833111066346,0.1521505972369662,0.0,0.0,0.0
64030535.0,-0.07060573885775229,-0.01911007093063995,1.8620300695016578,1.0576097766970969,0.0,0.0,0.0
73553815.0,0.7871325862574126,3.8259319361244764,0.6281884336979499,1.8690101195655453,0.0,0.0,0.0
28039362.0,0.7951672353008665,1.2210656638864292,2.096986684020678,0.2651745309468196,0.0,0.0,0.0
57307622.0,0.8333333333333334,3.7789343361135708,1.8030525408934697,0.21286741374258486,0.0,0.0,0.0
51965249.0,-0.09698668402067832,1.2847809744563574,1.935905783151025,0.13098988043445467,0.0,0.0,0.0
47086784.0,0.0,-0.7048327646991335,17.070605738857754,0.5000000000003032,0.0,0.0,0.0
35126363.0,1.8620300695016578,3.7705562622727906,1.9936333777867303,3.818424228631901,0.0,0.0,0.0
81886837.0,0.9162774325283954,3.734825469053181,1.9293942611422474,0.18157577136809977,0.0,0.0,0.0
16024420.0,0.5000000000003032,1.7871325862574121,0.49999999999999994,0.5,0.0,0.0,0.0
17717300.0,0.896317083972542,1.7531833111066355,1.9617105412258535,-0.006366622213270013,0.0,0.0,0.0
53661298.0,1.9488505765480781,-0.7871325862574126,-0.09033447060173311,1.1815757713644475,0.0,0.0,0.0
33555599.0,0.7048327646991334,1.499999989469344,-2.9936333777867303,0.5000000000003032,0.0,0.0,0.0
28449629.0,0.20483276469913342,3.7531833111066346,0.8690101195655454,0.43623143914148016,0.0,0.0,0.0
71527979.0,0.8478494027630339,-0.8333333333333333,1.137969930498342,0.2951672353008665,0.0,0.0,0.0
82508912.0,1.5000000002906486,1.6939733680413667,-2.3174451090061727,-0.07060573885775238,0.0,0.0,0.0
84490872.0,0.0,3.7951672353008665,3.9936333777867303,-2.0063666222124796,0.0,0.0,0.0
53690553.0,0.9423902233029019,-0.7871325862574123,0.05760977669709685,0.10368291602745885,0.0,0.0,0.0
59900885.0,0.98088992906936,1.56376856085852,1.795167235300867,3.0254920318654768,0.0,0.0,0.0
44231220.0,1.0,3.7951672353008665,0.0010420906638515248,0.96811571957074,0.0,0.0,0.0
43056653.0,-0.06409421684897483,1.657542425424043,-0.05760977669709694,-0.942390223302903,0.0,0.0,0.0
57508439.0,2.9999999999999987,3.4999999937987756,3.9936333777867303,0.2748010993815747,0.0,0.0,0.0
65824342.0,0.778934336113571,1.7951672353008667,0.9423902233029021,0.7531833111066352,0.0,0.0,0.0
32311289.0,3.670463428383199,3.5000000000519425,1.7871325862574126,0.7871325862574124,0.0,0.0,0.0
29834964.0,1.499999991063273,1.5000000002906486,3.7789343361135708,1.9293942611422477,0.0,0.0,0.0
33133321.0,2.0511494234519216,1.9552897430704916,3.7789343361135708,0.07060573885775259,0.0,0.0,0.0
23909034.0,0.06409421684897486,3.5000000000519425,0.13098988043445461,0.13098988043445473,0.0,0.0,0.0
54861410.0,0.2951672353008665,1.6939733680413565,1.8895729218328956,0.2651745309468196,0.0,0.0,0.0
37635638.0,1.0,-2.0640942168464536,0.0,0.0,0.0,0.0,0.0
71031180.0,1.0,-0.2468166888933652,-9.514400192260153e-17,0.8690101195655453,0.0,0.0,0.0
70075922.0,0.025492031865476952,1.5000000002906486,1.9936333777867303,3.077147446459067,0.0,0.0,0.0
93574369.0,0.5,1.704832764699133,0.29516723530086647,0.49999999999999994,0.0,0.0,0.0
16564732.0,-1.0640942168489749,-0.9030133159793217,0.06409421684897497,0.9359057831510251,0.0,0.0,0.0
15388596.0,0.1593633445228829,3.833333333333333,1.0969866840206817,0.22944373773169932,0.0,0.0,0.0
96931673.0,-0.13098988043445464,1.7871325862574126,1.8690101195655453,1.9228525535409728,0.0,0.0,0.0
78417862.0,1.9745079681345232,1.9681157195707402,0.9808899290693599,-0.99363337778673,0.0,0.0,0.0
98195567.0,0.8690101195655456,1.8690101195655453,1.064094216848988,0.06409421684897487,0.0,0.0,0.0
49224221.0,0.06409421684897486,1.255858224653833,1.2048327646991337,0.19694745910653008,0.0,0.0,0.0
16243875.0,-0.07060573885775229,1.2651745309468199,1.2210656638864286,0.99363337778673,0.0,0.0,0.0
32738552.0,0.8184242286319003,3.5000000000519425,0.5000000000003031,0.6435662931287063,0.0,0.0,0.0
57915052.0,3.9936333777848594,1.7441417753461599,-0.99363337778673,1.9936333777867299,0.0,0.0,0.0
20037842.0,0.5000000000003018,-0.10368291602316164,3.0969866840206786,0.35643370687007636,0.0,0.0,0.0
86115189.0,2.43623143914148,1.8690101195655453,1.818424228631902,0.17406806387552357,0.0,0.0,0.0
24911188.0,1.9936333777867299,1.6939733680413667,-0.006366622213269924,1.9936333777867303,0.0,0.0,0.0
