,user,userID,pos,qn,q1,q2,p1,p2,p12,p123,fal,irr,ent,a00,a01,a10,a11,qorder,check_pA,check_pA_B,check_pB
11,1.0,42134751.0,2.0,5.0,1.0,2.0,0.59,0.33,0.42,,1.0,0.08999999999999997,0.0,0.729971089508652,-0.06894250422059076,0.12451554735736471,0.6684949401059931,123.0,0.590027418388323,0.420018944089322,0.3299005575967919
12,1.0,42134751.0,3.0,4.0,2.0,4.0,0.33,0.66,0.38,,2.0,0.28,0.0,0.6988556804275114,0.03337440350637642,-0.17810831074873576,0.6919283037901293,1302.0,0.3299428429015103,0.38006313507401135,0.6598550034126817
13,1.0,42134751.0,4.0,2.0,1.0,4.0,0.58,0.36,0.38,,1.0,0.020000000000000014,0.0,0.7219397786304355,-0.016112913663125433,0.15535965612788893,0.6740970709693083,312.0,0.5800069528267138,0.3799232545805965,0.36000671001620527
14,1.0,42134751.0,5.0,3.0,2.0,3.0,0.41,0.31,0.35,,2.0,0.06,0.0,0.7987944944778601,-0.04348105914371012,0.03037295667710269,0.59926157163457,1203.0,0.40999487977366617,0.3499988820628292,0.3100046964849571
15,1.0,42134751.0,6.0,6.0,1.0,3.0,,,,,2.0,,0.0,,,,,,,,
16,1.0,42134751.0,7.0,7.0,1.0,3.0,0.56,0.23,0.28,,2.0,0.28,0.0,0.3062836809266082,-0.07259740847970955,0.7899280939504546,-0.5262450860960669,213.0,0.5600922134768845,0.2801776690231954,0.22983659341167992
18,2.0,43182876.0,0.0,0.0,1.0,2.0,0.65,0.89,0.75,,1.0,0.09999999999999998,0.0,0.44127432271079203,0.14728188902378067,-0.07955239292376061,0.8816214816936697,123.0,0.650001231432139,0.7500004280181948,0.8900004914690635
19,2.0,43182876.0,1.0,1.0,3.0,4.0,0.75,0.4,0.5,,1.0,0.09999999999999998,0.0,0.6251768638874006,-0.07587250861187973,0.20126436786896157,0.7502603129494838,2301.0,0.7500400522961215,0.49979450678621073,0.39971638574878676
20,2.0,43182876.0,2.0,5.0,1.0,2.0,0.7,0.8,0.71,,1.0,0.010000000000000007,0.0,0.48425660427388606,0.08066547406204154,-0.00824955287831618,0.8711606484639419,123.0,0.69998947071956,0.7100647456162483,0.7999368005659179
21,2.0,43182876.0,3.0,2.0,1.0,4.0,0.51,0.79,0.78,,1.0,0.27,0.0,-0.5059307862972847,0.779272178900095,-0.08179272139343678,0.36066465626355637,312.0,0.510014223322687,0.7799908967755239,0.7900029239520159
22,2.0,43182876.0,4.0,3.0,2.0,3.0,0.6,0.4,0.5,,2.0,0.09999999999999998,0.0,0.7035573016808433,-0.07104678978971248,0.07113119515610893,0.7034912024559096,1203.0,0.5999742177819517,0.5000130095326006,0.3999346625914184
23,2.0,43182876.0,5.0,4.0,2.0,4.0,0.8,0.65,0.8,,2.0,0.0,0.0,0.49586141268818,-2.1590711223288964e-06,0.1337509614022133,0.8580402417237455,1302.0,0.8000234550526126,0.8000213652648593,0.650011160555461
